Dataset,Domain,Bigdata,"Merge (train, test, validation)",Seperate label file,File conversion,Additional files,Multiple sheets,Missing data,Zip,Label,Preprocessing,Multiple files,Type of Preprocessing,Multiple Data files,Dataset characteristics,ML,On server,,,,,
Abalone (Imbalanced: 18 vs 9) data set,Biology,No,No,No,No,No,No,No,Yes,Yes,No,No,,1,,Yes,,,,,,
Abalone Data Set,Biology,No,No,No,No,No,No,No,Yes,Yes,No,No,,1,,Yes,,,,,,
Adult Data Set,Social Science,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Removed additional header,1,,Yes,,,,,,
Algerian Forest Fires Dataset Data Set,Biology,No,No,No,No,No,No,Yes,No,No,Yes,No,Removed additional header,1,,Yes,,,,,,
Appendicitis,Health and Medicine,No,No,No,No,No,No,No,No,No,Yes,No,File extension changed from txt to data,1,,Yes,,,,,,
Audit dataset,Business,No,No,No,No,Yes,No,No,Yes,No,No,Yes,,3,,Yes,,,,,,
Autism Screening Adult Data Set,Social Science,No,No,No,Yes,No,No,Yes,Yes,No,No,No,,1,,Yes,,,,,,
Autistic Spectrum Disorder Screening Data for Adolescent Data Set,Health and Medicine,No,No,No,Yes,No,No,Yes,Yes,No,No,No,,1,,,,,"TypeError: Encoders require their input to be uniformly strings or numbers. Got ['int', 'str']",,,
Autistic Spectrum Disorder Screening Data for Children Data Set,Health and Medicine,No,No,No,Yes,No,No,Yes,Yes,No,No,No,,1,,Yes,,,,,,
Automobile Data Set,Other,No,No,No,No,No,No,Yes,No,,No,No,,1,,,,,,,,
Automobile Multi-class Imbalanced data set,Other,No,No,No,No,No,No,No,No,,No,No,,1,,,,,,,,
Balance Scale Data Set,Social Science,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,,,,,
Balance Scale imbalanced,Social Science,No,No,No,No,No,No,No,No,No,No,No,,1,,,,,,,,
Banknote authentication Data Set,Computer Science,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,,,,,
Blood Transfusion Service Center Data Set,Business,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,,,,,
Bone marrow transplant: children Data Set,Health and Medicine,No,No,No,Yes,No,No,Yes,No,No,No,No,,1,,Yes,,,,,,
Breast Cancer Coimbra Data Set,Health and Medicine,No,No,No,No,Yes,No,No,No,No,No,No,,1,,Yes,,,,,,
Breast Cancer Wisconsin (Diagnostic)  Imbalance Data Set,Health and Medicine,No,No,No,No,No,No,No,No,No,No,No,,3,,Yes,,,,,,
Breast Cancer Wisconsin (Diagnostic) Data Set,Health and Medicine,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Removed additional header,1,,Yes,,,,,,
Breast Cancer Wisconsin (Diagnostic) data set-5cn10-nc,Health and Medicine,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network Data Set,Computer Science,No,No,No,Yes,No,No,Yes,No,Yes,No,No,,1,,Yes,,,,,,
Caesarian Section Classification Dataset Data Set,Health and Medicine,No,No,No,Yes,No,No,No,No,No,No,No,,1,,Yes,,,,,,
Car Evaluation Data Set,Other,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,len(perc) >= len(perc1) ,,,,
Cargo 2000 Freight Tracking and Tracing Data Set,Health and Medicine,No,No,No,No,No,No,Yes,Yes,No,No,No,,1,,Yes,,,,,,
Cervical cancer (Risk Factors) Data Set,Health and Medicine,No,No,No,No,No,No,Yes,No,No,No,No,,1,,Yes,,,,,,
Cervical Cancer Behavior Risk,Health and Medicine,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,,,,,
