File,Alpha,Beta,FeatureAlgo
chronic_kidney_disease_full.csv,0.04,0.1,GR
Autism-Adolescent-Data.csv,0.04,0.1,GR
SouthGermanCredit.asc,0.04,0.1,fcbf
Z-Alizadeh sani dataset.xlsx,0.04,0.1,GR
Data_User_Modeling_Dataset_Hamdi Tolga KAHRAMAN.csv,0.04,0.1,relieff
non-verbal tourist data.csv,0.04,0.1,chisquare
1year.csv,0.04,0.1,GR
2year.csv,0.04,0.1,fcbf
3year.csv,0.04,0.1,GR
4year.csv,0.04,0.1,fcbf
5year.csv,0.04,0.1,fcbf
abalone.data,0.04,0.1,chisquare
abalone9-18.csv,0.04,0.1,GR
adult.csv,0.04,0.1,MI
agaricus-lepiota.data,0.04,0.1,chisquare
Algerian_forest_fires_dataset_UPDATE.csv,0.04,0.1,GR
appendicitis.csv,0.04,0.1,GR
audit_risk.csv,0.04,0.1,relief
audit_trial.csv,0.04,0.1,GR
Autism-Adult-Data.csv,0.04,0.1,GR
Autism-Child-Data.csv,0.04,0.1,GR
Automobile_data.csv,0.04,0.1,fcbf
automobileimbalance.csv,0.04,0.1,MI
balance-scale.data,0.04,0.1,chisquare
balancescaleimbalanced.csv,0.04,0.1,chisquare
bloodtransfusion.data,0.04,0.1,relief
bone-marrow.csv,0.04,0.1,GR
Breast Cancer Wisconsin (Diagnostic) data set-5cn10-nc.csv,0.04,0.1,GR
breast-cancer-wisconsin.data,0.04,0.1,chisquare
breastcancercoimbra.csv,0.04,0.1,fcbf
breastcancerimbalance.csv,0.04,0.1,fcbf
breastcancerwdbc.data,0.04,0.1,GR
brestcancerwpbc.data,0.04,0.1,fcbf
bupa.data,0.04,0.1,relieff
burstheader.csv,0.04,0.1,GR
caesarian.csv,0.04,0.1,chisquare
car.data,0.04,0.1,chisquare
cargo2000_data_comma.csv,0.04,0.1,GR
cervical_behaviour.csv,0.04,0.1,fcbf
cervical_risk_factors_cervical_cancer.csv,0.04,0.1,relieff
Chemical Composion of Ceramic.csv,0.04,0.1,GR
chesskr-vs-kp.data,0.04,0.1,chisquare
ckd-dataset-v2.csv,0.04,0.1,chisquare
climate_pop_failures.dat,0.04,0.1,GR
column_2C_weka.csv,0.04,0.1,GR
column_3C_weka.csv,0.04,0.1,GR
congress_house-votes-84.data,0.04,0.1,GR
connect-4.data,0.04,0.1,chisquare
connectionist-bench.data,0.04,0.1,relief
contraceptive.data,0.04,0.1,chisquare
contraceptive5cn02.csv,0.04,0.1,relief
contraceptivemulticlass.csv,0.04,0.1,relief
creditapprovallimits.data,0.04,0.1,GR
Cryotherapy.xlsx,0.04,0.1,fcbf
data_banknote_authentication.csv,0.04,0.1,GR
dermatology.data,0.04,0.1,cfs
divorce.csv,0.04,0.1,chisquare
Dry_Bean_Dataset.csv,0.04,0.1,GR
ecoli-0_vs_1.csv,0.04,0.1,relief
ecoli-5cn01-nc.csv,0.04,0.1,relief
ecoli.data,0.04,0.1,GR
ecoli1.csv,0.04,0.1,relief
ecoli2.csv,0.04,0.1,relief
ecoli3.csv,0.04,0.1,relief
ecoli4.csv,0.04,0.1,GR
Electical_stability.csv,0.04,0.1,fcbf
extention of Z-Alizadeh sani dataset.xlsx,0.04,0.1,GR
fertility_Diagnosis.data,0.04,0.1,relief
glass identification imbalance.csv,0.04,0.1,fcbf
glass-0-1-2-3_vs_4-5-6.csv,0.04,0.1,GR
glass-0-1-6_vs_2.csv,0.04,0.1,GR
glass-0-1-6_vs_5.csv,0.04,0.1,GR
glass.data,0.04,0.1,GR
glass0.csv,0.04,0.1,MI
glass1.csv,0.04,0.1,relief
glass2.csv,0.04,0.1,GR
glass4.csv,0.04,0.1,GR
glass5.csv,0.04,0.1,chisquare
glass5cn10.csv,0.04,0.1,GR
glass6.csv,0.04,0.1,GR
Haberman imbalance.csv,0.04,0.1,GR
haberman.data,0.04,0.1,GR
Hayes-roth imbalance.csv,0.04,0.1,GR
hayes-roth.data,0.04,0.1,GR
hcc-data.data,0.04,0.1,MI
HCV-Egy-Data.csv,0.04,0.1,fcbf
hcvdat0.csv,0.04,0.1,GR
heart_failure_clinical_records_dataset.csv,0.04,0.1,MI
highereducation.csv,0.04,0.1,relief
horse.csv,0.04,0.1,MI
HTRU_2.csv,0.04,0.1,GR
Immunotherapy.xlsx,0.04,0.1,fcbf
Indian Liver Patient Dataset (ILPD).csv,0.04,0.1,fcbf
insurancedata2000.data,0.04,0.1,relief
ionosphere-5cn01-n.csv,0.04,0.1,relief
ionosphere.data,0.04,0.1,relief
iris.data,0.04,0.1,GR
iris0.csv,0.04,0.1,GR
Iris5cn01nc.csv,0.04,0.1,GR
letter-recognition.data,0.04,0.1,relief
Lymphography Multi-class Imbalanced data set.csv,0.04,0.1,cfs
lymphography.data,0.04,0.1,GR
mammographic_masses.data,0.04,0.1,GR
monks-1.csv,0.04,0.1,relieff
monks-2.csv,0.04,0.1,GR
monks-3.csv,0.04,0.1,GR
myocardical.data,0.04,0.1,relieff
new-thyroid1.csv,0.04,0.1,GR
newthyroid.csv,0.04,0.1,relief
newthyroid2.csv,0.04,0.1,GR
nursery.data,0.04,0.1,relief
ObesityDataSet_raw_and_data_sinthetic.csv,0.04,0.1,fcbf
page-blocks-1-3_vs_4.csv,0.04,0.1,GR
pageblocks_imbalanced.csv,0.04,0.1,GR
pageblocks5cn01-nc.csv,0.04,0.1,GR
parkinsons.data,0.04,0.1,relieff
Phishing Websites Data Set.csv,0.04,0.1,chisquare
PhishingData.csv,0.04,0.1,relief
Pima-5cn01-nc.csv,0.04,0.1,fcbf
pima.csv,0.04,0.1,relief
pimaimbalanced.csv,0.04,0.1,GR
post-operative.csv,0.04,0.1,relief
primary-tumor.data,0.04,0.1,relief
QSAR biodeg.csv,0.04,0.1,relief
Raisin_Dataset.csv,0.04,0.1,GR
seeds_dataset.data,0.04,0.1,MI
seismic-bumps.csv,0.04,0.1,fcbf
SomervilleHappinessSurvey2015.csv,0.04,0.1,MI
sonar5cn19.csv,0.04,0.1,relief
soybean-small.data,0.04,0.1,GR
spambase.data,0.04,0.1,GR
SPECT.csv,0.04,0.1,chisquare
SPECTF.csv,0.04,0.1,GR
starlog shuttle imbalanced.csv,0.04,0.1,chisquare
starlog vehicle sikhouettes.dat,0.04,0.1,fcbf
starlog_australian.dat,0.04,0.1,MI
statlog_heart.csv,0.04,0.1,cfs
student-mat.csv,0.04,0.1,GR
student-por.csv,0.04,0.1,relief
tae.data,0.04,0.1,MI
ThoraricSurgery.csv,0.04,0.1,chisquare
"Thyroid Disease (New Thyroid) Multi-class Imbalanced data set
.csv",0.04,0.1,GR
thyroid multiclass imbalance.csv,0.04,0.1,chisquare
thyroid.csv,0.04,0.1,relief
thyroid5cn21.csv,0.04,0.1,relief
tic-tac-toe.data,0.04,0.1,chisquare
titanic.csv,0.04,0.1,relief
trial.csv,0.04,0.1,GR
TUANDROMD.csv,0.04,0.1,chisquare
