Column,Mean,Standard Deviation
Completeness,0.008163621725269405,0.046216362708695786
Conciseness,0.04781401727893457,0.13859300806572455
cor.mean,0.21219574167444272,0.15759223896725938
cov.mean,33516571562.36692,440785241255.6778
eigenvalues.mean,4941447250103.805,46564053625142.58
g_mean.mean,32760.393244162075,355612.2876212297
h_mean.mean,23321.141081403952,252776.543146247
iq_range.mean,34216.55467753289,414704.01218025014
kurtosis.mean,174.30998360417965,850.5834383285569
mad.mean,26153.290570136913,333205.39817769907
max.mean,514147.69551310444,4587676.6605067905
mean.mean,42014.02843889407,441588.07899204973
median.mean,31275.40921123517,371473.3578277418
min.mean,1258.5333384730673,67721.99560871939
nr_cor_attr,0.12761231042795365,0.17759414236911666
nr_outliers,14.104046242774567,21.030173114055703
range.mean,512889.1621746313,4535709.849682725
sd.mean,57271.34701815773,514549.6717038444
skewness.mean,2.7690483174168707,6.195486841547959
sparsity.mean,0.1474132672843151,0.1487073093999593
t_mean.mean,33591.08021372328,398250.61716002057
var.mean,4941447250103.805,46564053625142.58
ClassOverlapPerc,0.00034195501232694216,0.000757051002036557
OutlierPerc,0.010565164246916526,0.009087101234724223
attr_to_inst,0.05320486817049883,0.08511996537750416
inst_to_attr,143.46311162192688,378.76402963227144
nr_attr,20.13294797687861,25.17334579176811
nr_bin,4.682080924855492,17.380742225110488
nr_inst,2247.7456647398844,6902.012684552831
nr_num,20.13294797687861,25.17334579176811
attr_conc.mean,0.07414167941463293,0.06431976399941848
attr_ent.mean,2.093026214933998,0.8606796775019014
ena,-1.5962743806286597,56.943939864239525
snr.mean,7.428674469951898,15.79835643805702
cEntropy,0.759968492459255,0.2526653490649458
