alpha,beta,Chisquare,GR,Relief,ReliefF,MI,FCBF,CFS,mRMR,Multisurf,Count
0.1,0.1,64,41,31,1,17,15,3,1,0,1
0.1,0.08,69,41,33,0,15,12,2,1,0,1
0.04,0.06,80,43,19,0,11,19,1,0,0,1
0.04,0.04,78,45,20,0,11,17,2,0,0,1
0.04,0.02,74,50,20,0,13,14,2,0,0,1
0.04,0.0,69,55,15,0,14,18,2,0,0,1
0.02,0.1,69,33,22,1,19,22,6,0,1,1
0.02,0.08,65,36,25,1,18,19,8,0,1,1
0.02,0.06,60,40,25,1,18,20,8,0,1,1
0.02,0.04,55,43,25,2,16,25,6,0,1,1
0.02,0.02,48,47,23,2,21,24,7,0,1,1
0.02,0.0,44,57,23,2,20,19,7,0,1,1
0.0,0.1,29,35,15,9,17,20,15,22,11,1
0.0,0.08,25,39,15,9,19,18,16,22,10,1
0.0,0.06,19,41,13,11,23,17,17,24,8,1
0.0,0.04,19,41,11,13,23,17,16,24,9,1
0.0,0.02,19,44,8,17,25,16,14,23,7,1
0.04,0.08,86,39,19,0,10,18,1,0,0,1
0.04,0.1,90,35,21,0,9,17,1,0,0,1
0.06,0.0,87,52,13,0,8,12,1,0,0,1
0.08,0.06,102,35,20,0,4,12,0,0,0,1
0.1,0.06,68,45,30,0,15,12,2,1,0,1
0.1,0.04,69,45,36,0,9,12,1,1,0,1
0.1,0.02,71,49,34,0,7,10,1,1,0,1
0.1,0.0,69,54,30,0,7,10,2,1,0,1
0.08,0.1,93,32,31,0,3,14,0,0,0,1
0.08,0.08,99,32,25,0,3,14,0,0,0,1
0.08,0.04,104,37,19,0,4,9,0,0,0,1
0.06,0.02,94,46,13,0,9,11,0,0,0,1
0.08,0.02,97,44,18,0,4,10,0,0,0,1
0.08,0.0,95,48,15,0,5,9,1,0,0,1
0.06,0.1,105,31,17,0,7,13,0,0,0,1
0.06,0.08,102,35,17,0,7,12,0,0,0,1
0.06,0.06,96,42,16,0,6,13,0,0,0,1
0.06,0.04,94,46,15,0,8,10,0,0,0,1
0.0,0.0,9,58,6,19,30,11,17,13,10,1
