"File","Completeness","Conciseness","cor.mean","cov.mean","eigenvalues.mean","g_mean.mean","h_mean.mean","iq_range.mean","kurtosis.mean","mad.mean","max.mean","mean.mean","median.mean","min.mean","nr_cor_attr","nr_norm","nr_outliers","range.mean","sd.mean","skewness.mean","sparsity.mean","t_mean.mean","var.mean","ClassImbRatio","ClassOverlapPerc","OutlierPerc","attr_to_inst","inst_to_attr","nr_attr","nr_bin","nr_inst","nr_num","attr_conc.mean","attr_ent.mean","ena","nUnique","snr.mean","cEntropy","LabelIssuesPerc"
"chronic_kidney_disease_full.csv",0.1009,0,0.175420471725848,17.6045106859029,644.461346981119,0,0,10.0358333333333,10.0325066273788,6.764671375,69.6177083333333,24.1444265625,24.406875,0,0.014492753623188,0,17,69.6177083333333,12.7811318286629,0.854752206629983,0.157499546546274,24.4118576388889,644.461346981118,0.333333333333333,0.0001,0.015,0.06,16.6666666666667,24,0,400,24,0.050283764747108,1.68460093121277,-7.8172251519115,3,2.43221557193168,0.628688355683825,0.005
"Autism-Adolescent-Data.csv",0.005494505494506,0.009615384615385,0.139554384581682,0.207624995086671,7.0543782673637,1.01168797736072,0.962831410472834,2.125,0.743456241070893,1.11195,4.3,2.82115384615385,3.05,0.65,0.031578947368421,0,8,3.65,1.25766971114841,-0.227853118468276,0.399631264097283,2.996875,7.05437826736371,0,0,0,0.192307692307692,5.2,20,15,104,20,0.070204153369025,0.918854765946734,1.07082380091957,2,1.88440048786927,0.967475608815744,0.019230769230769
"SouthGermanCredit.asc",0,0,0.080803514641365,819.931575264739,402581.868712813,124.709277054868,94.1882462992328,157.5125,1.70461605100485,101.224515,981.65,193.2092,145.2,14.35,0.005263157894737,0,11,967.3,157.47829683747,0.04500160751994,0.236799518440939,154.154,402581.868712813,0.5,0.00052380952381,0.016,0.02,50,20,3,1000,20,0.052971601773746,1.62840117813231,-1.18638766053486,2,3.00688256324187,0.881290899230693,0.002
"Z-Alizadeh sani dataset.xlsx",0,0,,76.3122637626917,106271.080057828,157.713637064769,151.404819820874,62.0054069871959,16.5527472261178,42.6192368157768,397.169102868796,164.964980298471,155.130463821892,80.6439165947274,0.006060606060606,4,41,316.525186274069,50.9884288039821,2.41120860082656,0.308595477017104,157.321859567958,106271.080057828,0.5,0,0.00990099009901,0.181518151815182,5.50909090909091,55,29,303,55,0.010838809282971,1.27280089731929,0.937861911602235,2,2.96797370002874,0.864983275201834,0.191419141914191
"Data_User_Modeling_Dataset_Hamdi Tolga KAHRAMAN.csv",0,0,0.121895229023978,0.006826439307152,0.055263712792206,0,0,0.3496,-0.804993827612538,0.2483355,0.952,0.417215503875969,0.3899,0,0,0,1,0.952,0.234298441246334,0.312666115949643,0.007733913906773,0.402664102564103,0.055263712792206,0.25,0,0,0.01937984496124,51.6,5,0,258,5,0.026738201633659,2.58022236609456,14.5097670239769,4,1.71229489917678,0.935524498952558,0.007751937984496
"non-verbal tourist data.csv",0.002382370458606,0,,0.414007162294834,11.9763214335132,2.20407373212586,2.0696384836061,2.04545454545455,2.37173887245959,1.28042727272727,6.68181818181818,3.44582814445828,3.45454545454545,1.18181818181818,0.108225108225108,1,8,5.5,1.55013049212959,0.327998877708087,0.326123327930077,3.34343434343434,11.9763214335132,0.833333333333333,0,0,0.301369863013699,3.31818181818182,22,4,73,22,0.089952389737973,0.985971740599846,37.7428999246854,6,1.51925324290941,0.803424401824039,0.26027397260274
"1year.csv",0.012774901205241,0.01166927565106,0.110239906998556,201649673.277656,5086383831.45451,,,127.719125671875,3804.98846235568,69.1049708633812,1590750.10695469,420.950970504116,46.081031625,-164608.064408031,0.094742063492064,0,64,1755358.17136272,21014.2274018235,35.5113749483888,1.65E-05,59.3212688736105,5086383831.45452,0.5,0,0.004980788387648,0.009107727337413,109.796875,64,0,7027,64,0.033232553307926,4.17853835940504,0.133578708163119,2,0.16424979633011,0.235676106477994,0.000284616479294
"2year.csv",0.018385016143789,0.008846947803008,0.103703983688406,6143299.8374756,701112311.98595,,,102.209567311438,6876.99524444132,53.3054789986491,658268.081995313,199.96402416473,31.2768026609375,-73154.7883199702,0.091269841269841,0,64,731422.870315283,7832.53927748507,51.8959872021184,1.34E-05,42.8615702049263,701112311.98595,0.5,0,0.008158851862774,0.006291162882139,158.953125,64,0,10173,64,0.02642126783336,4.29968841438047,0.135824514129374,2,0.102494643559945,0.239164611152076,0.000196598840067
"3year.csv",0.014483773866807,0.008283347614967,0.082104863432127,703894.723651084,597952689.836024,,,108.012012824844,5352.37733987658,55.1900173139221,510392.0279125,194.717231221728,33.0618828234375,-276019.85534254,0.060515873015873,0,64,786411.883255041,7839.38129819765,31.1906497588735,1.22E-05,45.4741616491521,597952689.836024,0.5,0,0.004665333714177,0.006093497096068,164.109375,64,0,10503,64,0.033053744945899,4.31435303494179,0.158799135542586,2,0.134872031783589,0.274075343468791,0.000190421784252
"4year.csv",0.013788335847159,0.008374183006536,0.084706090074624,1564483.43102742,519931736.5457,,,116.409511283906,4954.75067414416,59.1701504610418,553989.229215625,251.406790901892,35.9179646296875,-50373.9932224712,0.074404761904762,0,64,604363.222438096,6635.80745033817,30.5078653501994,1.29E-05,49.4965293558957,519931736.5457,0.5,0,0.005514705882353,0.006535947712418,153,64,0,9792,64,0.031307395824637,4.31383754553709,0.17461561884813,2,0.125507181421772,0.297315336261856,0.000204248366013
"5year.csv",0.012146297019394,0.01015228426396,0.103771843488669,335321.539475506,546124418.64143,,,159.08692678125,3646.41709133697,76.7093898474422,280354.809740625,254.125534103265,48.88860175,-187655.346927172,0.096230158730159,0,64,468010.156667797,6402.4493615772,18.4646722669949,1.79E-05,67.1681092239495,546124418.64143,0.5,0,0.005414551607445,0.01082910321489,92.34375,64,0,5910,64,0.044945627192788,4.10200340395069,0.222182344530706,2,0.164238561805555,0.363582971927188,0.000338409475465
"abalone.data",0,0,0.675863527164859,0.019801270984034,0.127904738012734,0.268275191378155,0.195181581555648,0.466421875,9.44825990870391,0.34539946875,1.3341875,0.466473913433908,0.45634375,0.016875,0.75,0,7,1.3173125,0.255577867874314,0.530009675623701,0.04635925117059,0.465189320630487,0.127904738012734,0.857142857142857,0.000186249467859,0.009818007662835,0.001915708812261,522,8,0,4176,8,0.207297288488838,3.68484330047972,-0.861856044082037,28,2.53836364400192,0.749183066272741,0.014846743295019
"abalone9-18.csv",0,0,0.676480002158606,0.012963757454118,0.119707854243929,0.327720113420351,0.298163181822494,0.41,0.567974655153132,0.3047669625,1.0874375,0.484299076607387,0.477125,0.092375,0.75,0,7,0.9950625,0.223927495432515,0.113965129280583,0.048766573834858,0.487157033029613,0.119707854243928,0.5,0,0.013679890560876,0.0109439124487,91.375,8,0,731,8,0.205392015999384,2.95887622202667,-0.318822765623936,2,3.19681380245583,0.31726044034373,0.002735978112175
"adult.csv",0.008824733824734,0.000593775593776,0.06893676706767,37555.8717726106,800577056.734558,11434.8891513832,9024.41240382821,8581.26785714286,14.1534124684062,6387.72915,113932.428571429,13641.948040248,12735.75,878.857142857143,0.010989010989011,0,10,113053.571428571,8107.88999756734,0.766468531165113,0.098432072133742,12682.5090870091,800577056.734559,0.75,0.000170625170625,0.005610155610156,0.00028665028665,3488.57142857143,14,1,48840,14,0.042368816475971,2.1931763957861,-1.31205113368526,4,2.19780860733706,0.856068777545002,4.10E-05
"agaricus-lepiota.data",0.013274170498156,0,,0.266908270124958,2.23979174229046,0,0,1.81818181818182,3.69663912395562,1.01086363636364,4.09090909090909,2.28439448031963,2.36363636363636,0,0.056277056277056,3,7,4.09090909090909,1.17913320246508,-0.633546101592974,0.304207272180062,2.33842424242424,2.23979174229046,0.714285714285714,0.000144517178811,0.009233041979564,0.002708358980672,369.227272727273,22,6,8123,22,0.096201973967357,1.32311379597316,-13.8966665005915,7,2.15077664392379,0.81018519906232,0.000246214452788
"Algerian_forest_fires_dataset_UPDATE.csv",0.000292740046838,0,,44.4659354853078,454.419409830876,172.050085671181,170.708180990797,21.45,1.89078261351671,15.1909476923077,215.438461538462,185.486633039092,184.965384615385,161.415384615385,0.179487179487179,1,7,54.0230769230769,13.6205141425286,0.581244488321534,0.1095960188801,185.097245322245,454.419409830876,0.777777777777778,0.000292740046838,0.004098360655738,0.05327868852459,18.7692307692308,13,0,244,13,0.122817388849454,2.26130169739874,-6.1352102049214,9,2.94518372263325,0.425673484874819,0.295081967213115
