Rule,Predicted_Class,Support,Confidence
(cEntropy <= 0.614) and (OutlierPerc <= 0.013) and (mad.mean <= 57.180) and (ClassOverlapPerc <= 0.000) and (t_mean.mean <= 0.049),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc <= 0.013) and (mad.mean <= 57.180) and (ClassOverlapPerc <= 0.000) and (t_mean.mean > 0.049) and (cEntropy <= 0.333) and (range.mean <= 758917.375) and (attr_conc.mean <= 0.003),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc <= 0.013) and (mad.mean <= 57.180) and (ClassOverlapPerc <= 0.000) and (t_mean.mean > 0.049) and (cEntropy <= 0.333) and (range.mean <= 758917.375) and (attr_conc.mean > 0.003) and (mad.mean <= 0.072),3,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc <= 0.013) and (mad.mean <= 57.180) and (ClassOverlapPerc <= 0.000) and (t_mean.mean > 0.049) and (cEntropy <= 0.333) and (range.mean <= 758917.375) and (attr_conc.mean > 0.003) and (mad.mean > 0.072) and (OutlierPerc <= 0.006),3,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc <= 0.013) and (mad.mean <= 57.180) and (ClassOverlapPerc <= 0.000) and (t_mean.mean > 0.049) and (cEntropy <= 0.333) and (range.mean <= 758917.375) and (attr_conc.mean > 0.003) and (mad.mean > 0.072) and (OutlierPerc > 0.006) and (nr_inst <= 5254.500),3,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc <= 0.013) and (mad.mean <= 57.180) and (ClassOverlapPerc <= 0.000) and (t_mean.mean > 0.049) and (cEntropy <= 0.333) and (range.mean <= 758917.375) and (attr_conc.mean > 0.003) and (mad.mean > 0.072) and (OutlierPerc > 0.006) and (nr_inst > 5254.500),3,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc <= 0.013) and (mad.mean <= 57.180) and (ClassOverlapPerc <= 0.000) and (t_mean.mean > 0.049) and (cEntropy <= 0.333) and (range.mean > 758917.375),0,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc <= 0.013) and (mad.mean <= 57.180) and (ClassOverlapPerc <= 0.000) and (t_mean.mean > 0.049) and (cEntropy > 0.333) and (OutlierPerc <= 0.007) and (nr_inst <= 123.000),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc <= 0.013) and (mad.mean <= 57.180) and (ClassOverlapPerc <= 0.000) and (t_mean.mean > 0.049) and (cEntropy > 0.333) and (OutlierPerc <= 0.007) and (nr_inst > 123.000) and (g_mean.mean <= 1.108) and (attr_to_inst <= 0.004),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc <= 0.013) and (mad.mean <= 57.180) and (ClassOverlapPerc <= 0.000) and (t_mean.mean > 0.049) and (cEntropy > 0.333) and (OutlierPerc <= 0.007) and (nr_inst > 123.000) and (g_mean.mean <= 1.108) and (attr_to_inst > 0.004) and (t_mean.mean <= 14.578),0,0.007228915662650603,0.3333333333333333
