Rule,Predicted_Class,Support,Confidence
(nr_inst <= 167.000) and (eigenvalues.mean <= 30.208) and (skewness.mean <= -0.359),fcbf,0.029891304347826088,1.0
(nr_inst <= 167.000) and (eigenvalues.mean <= 30.208) and (skewness.mean > -0.359) and (sparsity.mean <= 0.361) and (iq_range.mean <= 1.900),GR,0.024456521739130436,1.0
(nr_inst <= 167.000) and (eigenvalues.mean <= 30.208) and (skewness.mean > -0.359) and (sparsity.mean <= 0.361) and (iq_range.mean > 1.900),chisquare,0.002717391304347826,1.0
(nr_inst <= 167.000) and (eigenvalues.mean <= 30.208) and (skewness.mean > -0.359) and (sparsity.mean > 0.361),chisquare,0.008152173913043478,1.0
(nr_inst <= 167.000) and (eigenvalues.mean > 30.208) and (nr_inst <= 95.000) and (nr_outliers <= 2.500),fcbf,0.008152173913043478,1.0
(nr_inst <= 167.000) and (eigenvalues.mean > 30.208) and (nr_inst <= 95.000) and (nr_outliers > 2.500),GR,0.01358695652173913,1.0
(nr_inst <= 167.000) and (eigenvalues.mean > 30.208) and (nr_inst > 95.000) and (attr_conc.mean <= 0.053),GR,0.005434782608695652,1.0
(nr_inst <= 167.000) and (eigenvalues.mean > 30.208) and (nr_inst > 95.000) and (attr_conc.mean > 0.053),MI,0.16576086956521738,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean <= 11.271) and (OutlierPerc <= 0.016) and (LabelIssuesPerc <= 0.010),GR,0.024456521739130436,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean <= 11.271) and (OutlierPerc <= 0.016) and (LabelIssuesPerc > 0.010),chisquare,0.010869565217391304,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean <= 11.271) and (OutlierPerc > 0.016) and (cEntropy <= 0.425),chisquare,0.008152173913043478,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean <= 11.271) and (OutlierPerc > 0.016) and (cEntropy > 0.425) and (ena <= 2.249) and (ena <= -38.058),GR,0.002717391304347826,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean <= 11.271) and (OutlierPerc > 0.016) and (cEntropy > 0.425) and (ena <= 2.249) and (ena > -38.058),relief,0.051630434782608696,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean <= 11.271) and (OutlierPerc > 0.016) and (cEntropy > 0.425) and (ena > 2.249),GR,0.008152173913043478,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean > 11.271) and (LabelIssuesPerc <= 0.061) and (ena <= -7.065),chisquare,0.002717391304347826,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean > 11.271) and (LabelIssuesPerc <= 0.061) and (ena > -7.065),GR,0.07336956521739131,1.0
