"Rule","Predicted_Class","Support","Confidence"
"(nr_inst > 347.000) and (range.mean > 0.749) and (cor.mean <= 0.401) and (ena > -0.984) and (ena <= 201.459)","chisquare",0.246376811594203,1
"(nr_inst <= 347.000) and (cEntropy > 0.416) and (inst_to_attr > 9.611) and (skewness.mean > -0.330) and (cEntropy <= 0.980) and (snr.mean <= 62.448) and (cEntropy > 0.466)","GR",0.152173913043478,1
"(nr_inst > 347.000) and (range.mean > 0.749) and (cor.mean <= 0.401) and (ena <= -0.984) and (sd.mean > 0.947) and (nUnique > 2.500)","chisquare",0.079710144927536,1
"(nr_inst <= 347.000) and (cEntropy > 0.416) and (inst_to_attr <= 9.611) and (mad.mean <= 1.752)","chisquare",0.05072463768116,1
"(nr_inst <= 347.000) and (cEntropy <= 0.416)","chisquare",0.036231884057971,1
"(nr_inst <= 347.000) and (cEntropy > 0.416) and (inst_to_attr > 9.611) and (skewness.mean > -0.330) and (cEntropy > 0.980) and (nr_cor_attr > 0.017) and (snr.mean <= 4.720)","GR",0.036231884057971,1
"(nr_inst <= 347.000) and (cEntropy > 0.416) and (inst_to_attr <= 9.611) and (mad.mean > 1.752) and (attr_conc.mean <= 0.062) and (g_mean.mean <= 106.490)","GR",0.021739130434783,1
"(nr_inst <= 347.000) and (cEntropy > 0.416) and (inst_to_attr <= 9.611) and (mad.mean > 1.752) and (attr_conc.mean > 0.062) and (attr_ent.mean <= 1.719)","MI",0.021739130434783,1
"(nr_inst > 347.000) and (range.mean <= 0.749)","GR",0.021739130434783,1
"(nr_inst > 347.000) and (range.mean > 0.749) and (cor.mean <= 0.401) and (ena <= -0.984) and (sd.mean <= 0.947) and (t_mean.mean > 0.209)","relief",0.021739130434783,1
"(nr_inst > 347.000) and (range.mean > 0.749) and (cor.mean <= 0.401) and (ena <= -0.984) and (sd.mean > 0.947) and (nUnique <= 2.500) and (Conciseness <= 0.215) and (kurtosis.mean <= 11.884) and (sparsity.mean <= 0.126)","chisquare",0.021739130434783,0.666666666666667
